c1,c2,c3,c4,x,y,z,tx,ty,tz
2.419421,7.50012,2.804594,7.633083,-2.418289,0.9115362,-0.2673683,-3.149888,0.7571887,-0.3353578
6.696736,2.940404,6.949503,3.477829,2.546791,0.5244834,-0.95504,2.262519,0.515669,-0.5748867
5.780349,4.432273,5.188094,3.626144,0.865509,0.6896865,0.0014534,0.8604624,0.934193,1.082687
2.005537,6.58459,3.047305,6.972856,-1.904114,2.210247,-0.9030266,-2.458416,1.578412,-0.877315
7.077945,2.684959,6.869784,2.075001,2.942162,1.194779,0.1061717,2.680519,1.462207,0.4838966
1.262242,7.701608,2.659262,8.049421,-2.900566,1.970136,-0.9897947,-3.607594,1.65368,-0.9130697
6.337358,3.86726,5.776917,2.857686,1.69165,0.8428271,0.3751698,1.5754,1.233053,1.131555
5.296834,5.118709,4.694584,4.492643,0.1694107,0.5256908,-0.0635376,0.1159544,0.4975204,1.002889
5.965977,3.918516,5.803881,3.667004,1.360687,0.5374266,-0.5102425,1.264882,0.5625099,0.3179758
4.804701,6.101425,3.997298,5.488226,-0.6906586,0.3882656,0.2590065,-0.8838896,0.2163167,1.184461
3.347918,6.069882,2.681991,5.729571,-1.239403,2.681312,0.4640083,-1.602182,1.832017,0.6692465
6.016799,3.670624,5.630867,2.996376,1.514679,1.077616,0.009077072,1.420525,1.373019,0.7492026
6.206582,3.720946,6.459683,4.129321,1.915859,0.1632322,-0.7184445,1.542264,0.07847142,-0.5343082
5.822315,2.862471,6.040599,3.283781,1.851521,1.471375,-0.6943169,1.606601,1.549409,-0.43158
5.565848,3.181571,5.601144,3.24292,1.45446,1.717036,-0.5466919,1.303518,1.808861,-0.06569004
3.139848,7.19971,2.076416,6.803578,-2.052975,1.958889,0.7698708,-2.623573,1.255777,0.9245241
6.07492,3.708353,5.52209,2.709375,1.555565,1.356346,0.3794403,1.447048,1.901889,1.068528
3.2596,6.152932,3.386677,6.221186,-1.119957,1.154192,0.0343399,-1.702099,0.8299407,-0.1407639
4.544972,5.145533,3.734766,4.446146,-0.3347397,2.167065,0.1255245,-0.3637334,1.938319,1.118049
4.046038,4.935378,4.68449,5.471013,0.004566193,0.8519969,-0.7350693,-0.4992207,0.7534829,-0.9290042
4.09553,5.059914,4.128346,5.086513,-0.1073799,1.381148,0.04026706,-0.5518357,1.036738,-0.04498029
7.381832,3.101392,7.120333,2.413779,3.06815,0.5960507,0.1247663,2.804551,0.7911011,0.63205
3.965264,5.02438,4.23727,5.241711,-0.09022141,1.256173,-0.1308994,-0.5950671,1.009721,-0.3718565
7.286673,2.533946,7.029929,1.65686,3.2155,1.516025,0.3171272,2.91717,1.813877,0.6126162
2.643085,7.837074,2.706362,7.85864,-2.59441,0.6549681,0.06323242,-3.402114,0.5682169,-0.05641639
7.284347,3.343863,6.923433,2.460413,2.859648,0.5314602,0.2912521,2.617518,0.7697471,0.8546311
4.096193,5.194137,4.08354,5.184165,-0.1911755,1.262573,0.07169151,-0.6375161,0.919423,0.01724899
4.230629,5.931988,3.501541,5.436088,-0.8258953,1.209499,0.3097105,-1.080642,0.8495799,0.939572
2.804455,5.402366,3.783521,5.969557,-0.8990536,2.645097,-1.039682,-1.332536,1.945685,-1.07501
4.71169,4.253034,5.170807,4.756629,0.7668629,0.8899699,-0.4397402,0.2569828,0.8225318,-0.756205
