c1,c2,c3,c4,x,y,z,tx,ty,tz
2.069592,7.123917,2.207118,7.165079,-2.922089,1.553569,-0.09891129,-2.904186,1.643178,-0.09802711
2.065761,6.457864,2.685812,6.682083,-2.357826,1.838813,-0.4922562,-2.33979,1.997816,-0.4910367
5.702532,4.384916,5.635518,4.297404,0.8353119,0.08318474,0.1258125,0.8307111,0.143214,0.1266347
4.097393,4.963747,4.165144,5.019819,-0.4940338,1.023961,-0.09241706,-0.4906348,1.120704,-0.09329987
3.265162,7.984978,2.736703,7.783838,-3.332939,0.1907835,0.529685,-3.318662,0.2338803,0.5286229
5.258725,3.829857,4.968219,3.420061,0.8188477,1.763749,0.4873791,0.8116487,1.977823,0.495165
6.203729,4.128213,5.864977,3.599144,1.348007,0.3531678,0.6777382,1.340257,0.4175727,0.6813835
6.727936,2.020291,6.9535,2.677241,2.59124,1.56221,-0.5168648,2.573972,1.662457,-0.51434
3.566157,4.961156,3.94988,5.243772,-0.7494507,1.513838,-0.4746742,-0.7434746,1.6639,-0.4806786
6.656231,2.189396,6.994425,3.067576,2.485153,1.236707,-0.7710514,2.469498,1.315341,-0.7694286
7.667382,3.552616,7.388619,2.902418,2.898739,0.09645244,0.6995697,2.885479,0.1424453,0.6995093
6.324367,3.373989,5.906531,2.504654,1.802292,1.583759,0.847551,1.788363,1.719323,0.8517517
4.393716,5.200657,4.452648,5.25054,-0.4867859,0.407185,-0.08623505,-0.4838811,0.4763174,-0.08688974
5.3219,5.251438,4.6323,4.551173,0.04685211,0.3984041,1.133842,0.04656386,0.4736052,1.14407
3.566412,6.480285,2.934958,6.155386,-1.841011,0.827058,0.6822739,-1.829675,0.9005083,0.6842191
4.383562,4.753689,4.810962,5.150465,-0.2127151,0.5858083,-0.649292,-0.2113712,0.6633826,-0.6549562
5.30572,4.594562,4.948364,4.176797,0.442852,0.6263283,0.6055946,0.4400418,0.7046233,0.6107274
1.696054,7.149645,3.110567,7.610286,-3.032928,1.304675,-1.138519,-3.015052,1.368868,-1.133171
6.504474,3.45129,6.59758,3.623711,1.909931,0.2314151,-0.2027578,1.899799,0.2877061,-0.2033133
3.167345,8.054811,1.902647,7.646435,-3.444691,0.8902396,1.073785,-3.427994,0.9373802,1.068668
2.632459,7.872487,3.079477,8.033018,-3.455135,0.3196754,-0.426899,-3.440388,0.3628552,-0.4255556
5.91328,3.911572,5.796699,3.732993,1.236439,0.4788069,0.2262917,1.229155,0.5462903,0.2275259
4.537059,4.60689,4.337144,4.410141,-0.04020691,1.283325,0.2921143,-0.03990793,1.404583,0.2956809
5.660176,4.064677,5.051964,3.163281,0.978447,1.691132,1.069607,0.9697496,1.892269,1.085875
5.617777,3.48773,5.685786,3.596249,1.220352,1.025101,-0.127327,1.212198,1.115584,-0.1281253
3.378262,5.99213,3.238661,5.91455,-1.540838,1.008418,0.1533108,-1.530811,1.093702,0.1539544
6.373448,3.069795,6.140417,2.550984,1.963778,1.458745,0.4852047,1.949825,1.570334,0.4860203
4.590068,5.476893,4.550986,5.444181,-0.56106,0.0345325,0.05912589,-0.5579771,0.09442234,0.05954206
2.172733,7.198598,2.5665,7.327071,-2.960182,1.154353,-0.3130226,-2.943691,1.21969,-0.3110262
4.609468,4.712583,5.222429,5.313662,-0.06044006,0.2889055,-0.9959087,-0.06007743,0.3593559,-1.004428
7.344253,2.459567,7.31061,2.357211,3.009224,1.047439,0.08268738,2.993036,1.108702,0.08217096
2.883271,6.504134,3.189593,6.645601,-2.136921,0.7941761,-0.3098869,-2.124407,0.8616856,-0.3100415
6.683193,3.878613,6.247417,3.067376,1.862099,0.5195398,0.9358635,1.851339,0.5839921,0.9391406
2.531729,6.014192,3.594219,6.532937,-1.873413,1.30999,-1.080276,-1.860053,1.412413,-1.084794
4.827189,3.709368,5.31341,4.323191,0.6009388,1.268364,-0.8123369,0.5963966,1.390463,-0.8217611
3.794244,6.734775,3.236897,6.437267,-1.94557,0.2978005,0.6512476,-1.935057,0.3555756,0.6531309
2.192216,7.592585,2.259298,7.612225,-3.319567,1.152436,-0.05020618,-3.302596,1.211285,-0.04976904
7.787755,2.630968,7.640451,2.156235,3.374331,0.9220743,0.3813896,3.357946,0.9737417,0.378774
5.236726,3.682765,5.371702,3.872292,0.8723946,1.131267,-0.2365913,0.8662837,1.233176,-0.2386472
6.860711,1.865439,7.346409,3.221836,2.741572,1.310886,-1.153038,2.724344,1.384665,-1.150061
5.200962,4.148448,4.746522,3.562175,0.620435,1.682042,0.7412415,0.6150239,1.879239,0.7534212
3.834564,4.562633,4.524773,5.156288,-0.3852031,1.404129,-0.9483662,-0.3821084,1.548965,-0.9616151
2.767273,6.910139,3.469123,7.219906,-2.518924,0.4476323,-0.7294464,-2.505764,0.5019571,-0.7295022
3.9749,6.157969,3.304981,5.74836,-1.391279,0.7265369,0.8083014,-1.382546,0.8027326,0.8128218
4.398482,5.33934,3.835832,4.886257,-0.5766894,1.037928,0.7645006,-0.5726191,1.138932,0.7721729
2.789207,6.512896,3.700472,6.952096,-2.177296,0.6010678,-0.983736,-2.164884,0.6634704,-0.9856362
4.501642,4.598617,5.041871,5.128641,-0.05550695,0.5503055,-0.8516426,-0.05515599,0.6281737,-0.8592799
2.868101,7.350844,3.906412,7.814662,-2.876237,0.04084639,-1.170891,-2.863056,0.08733797,-1.172342
3.26489,7.562315,2.889384,7.407944,-2.921659,0.2212639,0.385601,-2.908069,0.2682595,0.3851612
7.743455,2.285526,8.097267,3.290632,3.436541,0.5184278,-0.937027,3.421092,0.5626522,-0.9341046
4.423123,5.193184,4.799019,5.516859,-0.4654655,0.1460837,-0.5734549,-0.4628216,0.2096462,-0.5777612
7.235015,1.65741,7.484779,2.53446,3.11841,1.549513,-0.6185716,3.099902,1.6278,-0.6127467
2.36969,6.65665,2.972195,6.894164,-2.433421,1.145736,-0.5375509,-2.418473,1.221584,-0.5364182
5.11534,3.426156,5.352491,3.771075,0.9090586,1.564501,-0.4088039,0.9017603,1.720459,-0.413743
5.376703,3.534026,5.922736,4.31963,1.03299,0.7661272,-1.020397,1.026225,0.8497277,-1.028311
2.584018,6.940357,3.076316,7.138286,-2.607418,0.7369086,-0.4653168,-2.593213,0.7958754,-0.4644289
4.019035,5.024392,4.19525,5.166429,-0.5720978,0.9381061,-0.2391014,-0.5682418,1.029306,-0.2412459
7.67061,1.381021,7.842314,2.137954,3.577423,1.838955,-0.4514389,3.55819,1.927499,-0.4439382
4.230069,5.403918,3.584009,4.914668,-0.7122631,1.321282,0.8317337,-0.7068026,1.448518,0.8413946
