c1,c2,c3,c4,x,y,z,tx,ty,tz
5.688871,3.023907,6.13291,3.793856,1.45932,1.130452,-0.8794518,1.451203,1.197709,-0.8748886
8.260105,3.302519,7.890928,2.223521,3.598282,0.543488,1.002319,3.582669,0.5754756,0.9937643
2.902297,5.726115,3.923141,6.305244,-1.531685,1.159826,-1.165682,-1.522817,1.226173,-1.161284
3.14437,7.120499,1.856136,6.652795,-2.565765,1.555734,1.079061,-2.550903,1.62131,1.073637
5.44584,4.244703,5.915291,4.832287,0.7310944,0.01986605,-0.8926865,0.7274793,0.06662011,-0.8889151
7.937253,2.759355,8.198382,3.439116,3.476585,0.08183015,-0.7075052,3.461622,0.1139262,-0.7022473
7.935381,2.649269,8.103304,3.11639,3.512619,0.2873892,-0.452528,3.496978,0.3207705,-0.4488764
6.874685,3.023655,7.275372,3.848666,2.39415,0.1666144,-0.9494286,2.382425,0.2064347,-0.9449565
8.106237,3.139716,7.910466,2.592721,3.506424,0.3197383,0.5268898,3.490829,0.3531635,0.5226022
5.790299,2.838603,6.170067,3.549625,1.600807,1.319119,-0.7616959,1.591868,1.393646,-0.7570285
2.648386,5.67258,3.523511,6.130199,-1.582016,1.721956,-0.905365,-1.572763,1.826668,-0.9001969
5.118478,3.885028,4.977947,3.697917,0.6981239,1.528539,0.2375937,0.6940857,1.628074,0.2364757
4.987922,4.119704,5.571278,4.809545,0.4968185,0.5332732,-1.031039,0.4942129,0.58876,-1.026628
5.211582,4.902524,4.477914,4.114107,0.1964569,1.093972,1.189774,0.1953647,1.16661,1.184812
6.327673,3.626593,5.757761,2.502908,1.690777,1.727413,1.152325,1.680454,1.828045,1.147939
5.1076,4.690505,5.140795,4.72663,0.2567329,0.2208245,-0.05693817,0.2554214,0.2718632,-0.05669844
6.967276,3.791041,6.554246,2.964322,2.146641,0.422287,0.9352684,2.135684,0.4667208,0.9307981
2.250773,7.122118,2.830633,7.326054,-2.868137,0.9991068,-0.4955635,-2.853661,1.046526,-0.4910842
5.790849,3.778735,6.188767,4.364144,1.209518,0.2107881,-0.7982502,1.203443,0.2586157,-0.794486
6.775581,2.881763,6.843688,3.038442,2.362354,0.7089618,-0.1557102,2.350246,0.7576407,-0.1545953
6.416118,2.710528,6.678026,3.282747,2.124973,0.934097,-0.5755732,2.113725,0.9891638,-0.5715777
2.253067,6.453608,3.054964,6.775363,-2.29829,1.402445,-0.7152653,-2.285796,1.470044,-0.7094153
2.532418,5.779228,3.387568,6.20177,-1.696522,1.794063,-0.8492584,-1.686646,1.90573,-0.8437457
7.114274,2.979433,7.143558,3.048696,2.621384,0.4450344,-0.07008362,2.608492,0.4876151,-0.06958735
2.627189,7.888744,1.204146,7.53526,-3.474983,1.750399,0.9204407,-3.458135,1.801832,0.9086921
5.420046,4.053132,5.750677,4.485673,0.8134804,0.3111528,-0.6183395,0.8093137,0.3622289,-0.615564
1.951413,7.581791,2.634533,7.785648,-3.371048,1.097406,-0.5276375,-3.354722,1.139426,-0.5221257
