c1,c2,c3,c4,x,y,z,tx,ty,tz
3.775966,5.240068,4.00546,5.407782,-0.8309631,0.9485083,-0.2938919,-0.8250248,1.047196,-0.2976329
5.176688,4.164401,5.219221,4.217155,0.5949783,0.6944546,-0.07278824,0.5909916,0.7799622,-0.07369471
7.969622,2.562554,7.799536,1.970932,3.575844,1.038415,0.4505024,3.559262,1.093279,0.4470182
2.277527,6.284336,3.24694,6.696892,-2.16037,1.415462,-0.889019,-2.144109,1.527889,-0.8925817
7.107269,2.720857,7.056528,2.585415,2.709633,0.8803082,0.1199998,2.694388,0.9465042,0.1197826
6.269164,3.667914,6.044495,3.269113,1.625702,0.6444681,0.4577894,1.615551,0.7195569,0.4610824
5.952936,3.592987,6.185858,3.966982,1.416382,0.3659247,-0.467289,1.407993,0.4344554,-0.4712312
6.268999,3.561532,6.409439,3.803297,1.672821,0.2337838,-0.2946854,1.66349,0.2963686,-0.2967586
4.558293,4.776777,4.402375,4.628225,-0.1284027,0.9319484,0.2294579,-0.1274726,1.033032,0.2328551
6.294303,3.077425,6.229088,2.941739,1.897079,1.086391,0.1354904,1.884232,1.17777,0.1361198
3.619377,5.952177,4.069468,6.236112,-1.403736,0.295233,-0.5718403,-1.395532,0.3624148,-0.5767804
5.564217,4.625448,4.914746,3.819553,0.6023636,0.8955123,1.117449,0.5978591,1.002742,1.134297
5.917491,3.420659,6.331082,4.094729,1.466179,0.435859,-0.8369362,1.457237,0.5078899,-0.8443162
5.530734,4.474136,5.240604,4.110087,0.6648903,0.4366949,0.5147991,0.6606945,0.512966,0.5208464
6.093961,3.244049,6.238491,3.508029,1.67384,0.7213104,-0.295105,1.663282,0.7982754,-0.2970693
5.709493,3.101326,6.031634,3.660672,1.446728,1.08519,-0.6244316,1.436255,1.186988,-0.6303829
3.410006,5.956161,3.251708,5.866969,-1.500893,1.017557,0.1743279,-1.490483,1.111823,0.1757556
5.96472,3.355923,5.861504,3.168844,1.530621,1.113352,0.2017899,1.519729,1.213809,0.2034418
7.400189,2.578964,7.104833,1.538475,3.027424,1.721472,0.7203064,3.006984,1.826463,0.7140249
7.846214,2.138113,7.703774,1.535117,3.580631,1.675994,0.3749657,3.561972,1.758772,0.3691569
5.609795,3.729524,5.481808,3.534087,1.105473,1.027712,0.2339386,1.097528,1.128619,0.2365965
7.881778,1.91428,7.942871,2.15203,3.670727,1.313835,-0.1630306,3.653623,1.376402,-0.161127
6.104273,3.835991,5.973431,3.624162,1.417675,0.4185209,0.2612286,1.409208,0.4879615,0.2633791
1.667116,7.772021,3.03102,8.173868,-3.61882,1.089239,-1.073898,-3.601565,1.139912,-1.067968
2.369172,6.475232,2.572587,6.552393,-2.287224,1.642994,-0.1675529,-2.269728,1.78148,-0.1675379
3.550554,4.942279,4.273803,5.484987,-0.7449074,1.272985,-0.927433,-0.7387303,1.411402,-0.9431591
2.777677,8.010773,2.032309,7.783782,-3.544781,0.8893524,0.6010246,-3.528561,0.941142,0.597535
5.917545,3.440418,5.931997,3.465216,1.45845,0.837018,-0.02831078,1.448804,0.9216062,-0.02854145
7.749052,3.490461,7.385288,2.584181,3.005816,0.3419387,0.9165165,2.99153,0.3931108,0.9175546
5.624779,3.8253,6.016836,4.38145,1.069265,0.2926574,-0.7528677,1.062826,0.3634729,-0.7606971
3.529253,5.62461,3.144251,5.391376,-1.20933,1.583716,0.4217873,-1.198789,1.756171,0.4282182
4.304563,4.192066,4.74499,4.643176,0.06025791,1.38353,-0.6512604,0.05974054,1.538389,-0.6642784
7.55434,1.604919,7.642095,1.977201,3.425492,1.823589,-0.2260742,3.405768,1.931865,-0.2222599
6.269304,3.078907,6.317144,3.175187,1.876122,0.8985911,-0.09986877,1.864031,0.9800264,-0.1003574
3.812395,5.257761,3.802625,5.250681,-0.825552,1.128414,0.01223278,-0.8193561,1.240374,0.01240015
6.234873,2.835141,6.710872,3.768313,1.939601,0.7472321,-1.020487,1.927226,0.8243855,-1.027026
6.771516,2.567212,6.603539,2.084196,2.472903,1.727342,0.375411,2.453928,1.871344,0.374451
3.05175,6.435681,3.892818,6.874507,-2.018078,0.3852198,-0.9675331,-2.006551,0.4500866,-0.9734757
7.607543,2.373063,7.756629,2.814606,3.280695,0.6874236,-0.3831482,3.265206,0.7401398,-0.3817636
3.915318,6.007573,2.906361,5.404456,-1.309348,1.519457,1.129009,-1.297576,1.690386,1.147131
5.149113,4.364652,5.112397,4.321276,0.4695184,0.5884076,0.06202316,0.466449,0.6697592,0.06279361
7.645792,3.041939,7.446744,2.49985,3.090204,0.5506287,0.5014744,3.075297,0.6034418,0.5006911
6.593155,4.098892,6.079248,3.207567,1.67704,0.4659432,1.076467,1.666799,0.5383416,1.085406
5.868813,3.82404,5.556741,3.32531,1.247625,0.9857011,0.5880005,1.23873,1.083609,0.5942653
7.329339,2.462756,7.457934,2.822542,2.993737,0.7391602,-0.3177576,2.978378,0.7968973,-0.3169288
3.824271,6.335359,3.897598,6.379889,-1.603011,0.02163844,-0.09366226,-1.594483,0.08031678,-0.09436929
3.61696,5.75115,3.803572,5.870306,-1.257633,0.644876,-0.2286758,-1.249583,0.7234579,-0.2307946
4.702632,4.49947,4.290439,4.066736,0.1179781,1.654364,0.6027565,0.1168454,1.874652,0.6178147
6.796306,2.151372,7.263953,3.347185,2.613949,1.045936,-1.094685,2.597586,1.119393,-1.095874
7.247665,2.134255,7.589666,3.103132,3.014566,0.8733635,-0.8475246,2.99835,0.9326078,-0.8457301
4.426111,4.010786,5.07629,4.718544,0.2208986,1.297056,-1.009922,0.2190037,1.447286,-1.02971
4.872931,4.574877,5.37298,5.10421,0.1770754,0.2004894,-0.8433514,0.175997,0.2732596,-0.8539095
2.194355,7.969523,3.432434,8.39522,-3.683836,0.5120953,-1.162315,-3.668632,0.5574509,-1.161068
7.105906,3.471126,6.939844,3.11709,2.415054,0.2095683,0.3874512,2.402824,0.2647612,0.3887443
3.337683,7.277558,1.990548,6.766462,-2.631372,1.222982,1.195042,-2.61392,1.303992,1.196308
6.784142,2.345477,7.055338,3.042116,2.548271,1.018831,-0.6257172,2.532708,1.092634,-0.6255347
7.674066,2.863106,7.595417,2.64508,3.183121,0.5004318,0.2005711,3.16837,0.5516886,0.2001542
7.670372,2.397538,7.437358,1.492606,3.33741,1.65111,0.5939455,3.317902,1.736396,0.5867192
1.756122,7.384097,2.22508,7.509454,-3.234045,1.584994,-0.3148098,-3.215057,1.673105,-0.3111696
7.982542,3.728038,7.571651,2.739926,3.127609,0.09597877,1.062626,3.113919,0.1440294,1.065178
3.02279,5.816623,3.914433,6.326028,-1.55435,0.9099235,-1.021358,-1.54349,1.002123,-1.030921
4.329757,4.048604,5.019026,4.778601,0.1485405,1.367388,-1.05204,0.1472249,1.531318,-1.073972
3.671196,5.824411,3.827151,5.923949,-1.285862,0.5366329,-0.1931686,-1.27788,0.6108714,-0.194901
3.205881,6.750778,3.7744,7.038567,-2.217358,0.1226294,-0.6581116,-2.205959,0.1789203,-0.6614033
6.668026,2.921823,6.492271,2.494807,2.260582,1.228092,0.3850584,2.245345,1.320458,0.3854974
6.464906,3.576378,6.359586,3.382278,1.823185,0.3923372,0.2237829,1.812783,0.4571116,0.2251115
6.715757,3.337607,6.258774,2.282647,2.138786,1.394927,0.9835253,2.122611,1.506711,0.9881905
4.04979,5.923968,3.611457,5.633402,-1.175819,0.5869996,0.554163,-1.168287,0.665337,0.559697
6.185599,4.438165,5.715792,3.755789,1.167217,0.238584,0.9224091,1.160271,0.308527,0.9318926
5.723468,4.636795,5.159196,3.919066,0.7083626,0.5495248,1.010532,0.7036393,0.6345712,1.023465
5.720939,3.056315,6.041814,3.621525,1.472546,1.132251,-0.6231575,1.461755,1.23718,-0.6290631
1.867659,6.915339,2.812837,7.228127,-2.789185,1.430144,-0.7402763,-2.770861,1.51861,-0.7373171
5.727077,3.810805,5.56704,3.565777,1.150166,0.8467965,0.2981367,1.142323,0.9360732,0.3012454
3.869196,4.620386,4.139268,4.848797,-0.4023476,1.651971,-0.3522042,-0.3985808,1.862178,-0.3604767
1.723403,7.729301,3.082217,8.140763,-3.565414,1.03774,-1.093558,-3.548249,1.088615,-1.088324
4.045278,4.828064,4.029852,4.815147,-0.437767,1.396003,0.02038383,-0.4341209,1.544118,0.02076054
